no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
1;AP001;Nasi;56,7;180;3;0,3;39,8;0,2;0,2;25;27;0,4;1;38;0,1;0,6;-;-;-;0,05;0,1;2,6;-;100;Olahan;Serealia;KZGPI-1990;100
2;AP002;Nasi tim;71;120;2,4;0,4;26;0,5;0,2;3;7;0,4;-;23,9;0,1;0,4;-;-;-;0,1;-;1,4;-;100;Olahan;Serealia;OKN-1992;100
3;AP003;Tapai beras;75,5;99;1,7;0,3;22,4;-;0,1;4;19;-;26;2;0,1;0,5;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
4;AP004;Tepung beras, mentah;12;353;7;0,5;80;2,4;0,5;5;140;0,8;5;241;0,1;0,8;-;-;-;0,12;0,1;1,2;-;100;Olahan;Serealia;DABM-1964;100
5;AP005;Nasi beras merah;64;149;2,8;0,4;32,5;0,3;0,3;6;63;0,8;5;91,4;0,2;0,9;-;-;-;0,06;-;1,6;-;100;Olahan;Serealia;KZGPI-1990;100
6;AP006;Bihun, mentah;12,9;348;4,7;0,1;82,1;1,2;0,2;6;35;1,8;12;5;0,08;0,7;-;-;-;-;-;0,2;-;100;Olahan;Serealia;DABM-1964;100
7;AP007;Bihun goreng instan;9;381;6,1;3,9;80,3;-;0,7;266;151;2,9;928;-;-;-;58;-;400;0,37;-;-;-;100;Olahan;Serealia;KZGMS-1993;100
